s1   h2   h3
s2   h1   h4
s3   h4   h1
s4   h3   h2
s5   h6   h7
s6   h5   h8
s7   h8   h5
s8   h7   h6
s9   h10   h11
s10   h9   h12
s11   h12   h9
s12   h11   h10
s13   spabbert   spabbert
s14   spabbert   spabbert
s15   cfru   cfru
s16   cfru   cfru
s17   cfru   cfru
s18   cfru   cfru
s19   spabbert   spabbert
s20   spabbert   spabbert
s21   h22   h23
s22   h21   h24
s23   h24   h21
s24   h23   h22
s25   spabbert   spabbert
s26   spabbert   spabbert
s27   cfru   cfru
s28   cfru   cfru
s29   cfru   cfru
s30   cfru   cfru
s31   spabbert   spabbert
s32   spabbert   spabbert
s33   h34   h35
s34   h33   h36
s35   h36   h33
s36   h35   h34
s37   spabbert   spabbert
s38   spabbert   spabbert
s39   cfru   cfru
s40   cfru   cfru
s41   cfru   cfru
s42   cfru   cfru
s43   spabbert   spabbert
s44   spabbert   spabbert
s45   h46   h47
s46   h45   h48
s47   h48   h45
s48   h47   h46
s49   h50   h50
s50   h49   h49
s51   h52   h52
s52   h51   h51
s53   h54   h54
s54   h53   h53
s55   h56   h56
s56   h55   h55
s57   h58   h58
s58   h57   h57
s59   h60   h60
s60   h59   h59
